,City,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,sterling,39.0062,-77.4286,33.900000000000034,61.0,1.0,0.45,US,1623088583.0
285,santee,32.8384,-116.9739,22.79000000000002,76.0,90.0,2.24,US,1623088750.0
286,sorong,-0.8833,131.25,25.810000000000002,88.0,72.0,3.25,ID,1623088829.0
287,asind,25.7333,74.3333,32.460000000000036,45.0,12.0,8.6,IN,1623088830.0
288,sur,22.5667,59.5289,30.470000000000027,69.0,0.0,6.98,OM,1623088830.0
289,gevrai,19.2667,75.75,28.600000000000023,61.0,77.0,6.33,IN,1623088831.0
290,mahibadhoo,3.7833,72.9667,28.400000000000034,72.0,86.0,7.26,MV,1623088831.0
291,fort smith,35.3859,-94.3986,21.27000000000004,76.0,90.0,2.14,US,1623088832.0
292,sahuaripa,29.05,-109.2333,37.51000000000005,10.0,12.0,6.21,MX,1623088833.0
293,bambanglipuro,-7.95,110.2833,14.78000000000003,86.0,28.0,0.9,ID,1623088833.0
294,aksha,50.2814,113.2867,13.480000000000018,97.0,100.0,0.57,RU,1623088834.0
295,makakilo city,21.3469,-158.0858,25.379999999999995,66.0,3.0,6.76,US,1623088835.0
296,uglegorsk,49.0833,142.0333,6.53000000000003,94.0,67.0,4.27,RU,1623088835.0
297,porto novo,6.4965,2.6036,27.150000000000034,75.0,62.0,3.11,BJ,1623088836.0
298,klyuchi,52.2667,79.1667,18.150000000000034,52.0,3.0,3.25,RU,1623088837.0
299,la playa,18.2875,-67.1869,30.27000000000004,79.0,100.0,0.89,PR,1623088837.0
300,byron bay,-28.65,153.6167,11.04000000000002,87.0,27.0,3.25,AU,1623088482.0
301,mezhdurechensk,53.6942,88.0603,11.150000000000034,85.0,1.0,0.94,RU,1623088837.0
302,alice springs,-23.7,133.8833,7.75,53.0,72.0,3.1,AU,1623088838.0
303,vitim,59.4511,112.5578,10.370000000000005,67.0,100.0,2.66,RU,1623088839.0
